,Probe,Af_out
29126,cg01401694,1
44999,cg02201753,1
178693,cg09307193,1
23245,cg01101400,1
343333,cg18944924,1
241861,cg13092766,1
186783,cg09779339,1
171369,cg08880261,1
222411,cg11866463,1
351051,cg19463349,1
351855,cg19511994,1
81950,cg04080302,1
149076,cg07646467,1
103355,cg05194362,1
394357,cg22266693,1
92216,cg04605607,1
162480,cg08380311,1
71235,cg03524755,1
213174,cg11317459,1
410499,cg23282363,1
460611,cg26393871,1
329683,cg18111500,1
269768,cg14506175,1
68524,cg03386480,1
225632,cg12062639,1
152740,cg07850323,1
478342,cg27425262,1
353571,cg19615304,1
242338,cg13127421,1
267941,cg14414464,1
4854,cg00226143,1
385550,cg21659725,1
151519,cg07784793,1
192700,cg10115321,1
282445,cg15231942,1
180684,cg09418922,1
222355,cg11863397,1
89809,cg04481170,1
467791,cg26814396,1
129121,cg06622953,1
169718,cg08795752,1
25780,cg01228342,1
98596,cg04940582,1
471045,cg26991296,1
75206,cg03722487,1
406501,cg23051063,1
139635,cg07143583,1
125233,cg06406893,1
35978,cg01758336,1
30867,cg01486376,1
295020,cg16015031,1
103100,cg05179529,1
122953,cg06270753,1
301866,cg16416584,1
373769,cg20905180,1
420667,cg23930681,1
91308,cg04559159,1
163723,cg08456051,1
220273,cg11754259,1
176482,cg09179723,1
107821,cg05420867,1
23150,cg01097444,1
369369,cg20615879,1
25783,cg01228410,1
7635,cg00360474,1
114332,cg05793108,1
361694,cg20098848,1
201100,cg10589577,1
235930,cg12698349,1
396593,cg22431228,1
156700,cg08074201,1
241657,cg13079234,1
24041,cg01141721,1
103516,cg05203814,1
236521,cg12739617,1
19717,cg00937982,1
307472,cg16717578,1
113030,cg05718567,1
269257,cg14479427,1
447577,cg25591664,1
345381,cg19086124,1
89735,cg04477079,1
195702,cg10279794,1
6364,cg00301864,1
405677,cg23004082,1
125691,cg06435604,1
262446,cg14149107,1
158641,cg08172037,1
272193,cg14616819,1
98515,cg04936346,1
37449,cg01824063,1
192513,cg10105797,1
204657,cg10804726,1
451725,cg25863503,1
395798,cg22370524,1
47653,cg02333792,1
423270,cg24076633,1
414655,cg23543615,1
27961,cg01342858,1
396658,cg22435982,1
129451,cg06638156,1
200449,cg10551016,1
472795,cg27095074,1
53413,cg02622647,1
147933,cg07585727,1
291048,cg15774510,1
386717,cg21752583,1
422376,cg24026092,1
438202,cg24994504,1
66686,cg03293837,1
109941,cg05545891,1
70272,cg03474461,1
160159,cg08252971,1
271454,cg14581475,1
96387,cg04833630,1
412612,cg23415761,1
262485,cg14150973,1
378566,cg21201206,1
340266,cg18757817,1
118375,cg06002687,1
291156,cg15782228,1
168427,cg08717414,1
186399,cg09756125,1
282463,cg15233060,1
330189,cg18137598,1
39182,cg01912769,1
432849,cg24677002,1
458184,cg26261358,1
349389,cg19360675,1
64258,cg03163302,1
147995,cg07588442,1
398245,cg22539914,1
71371,cg03531388,1
320730,cg17533960,1
174710,cg09077675,1
407956,cg23139801,1
363614,cg20231299,1
53199,cg02612588,1
169390,cg08774443,1
65505,cg03227775,1
233664,cg12564102,1
149045,cg07644681,1
268145,cg14422932,1
369113,cg20597013,1
115630,cg05868365,1
245565,cg13326926,1
289432,cg15678825,1
481878,cg27635110,1
15323,cg00723619,1
292175,cg15842898,1
324658,cg17811760,1
37064,cg01807768,1
218411,cg11648968,1
155096,cg07980804,1
420534,cg23922867,1
7410,cg00350371,1
172774,cg08960045,1
127973,cg06559318,1
54030,cg02648746,1
5545,cg00258633,1
164431,cg08491487,1
417439,cg23712018,1
31702,cg01531495,1
152401,cg07830652,1
188987,cg09899665,1
428535,cg24411314,1
462366,cg26500773,1
233758,cg12569880,1
307722,cg16731318,1
351429,cg19487738,1
109703,cg05530133,1
436758,cg24899294,1
471996,cg27049827,1
362617,cg20157398,1
407343,cg23096297,1
236261,cg12723292,1
238231,cg12852384,1
152739,cg07850316,1
150756,cg07740095,1
440169,cg25114630,1
149617,cg07679432,1
135758,cg06949017,1
87669,cg04366407,1
266778,cg14353184,1
29383,cg01413240,1
93454,cg04675342,1
17878,cg00849368,1
271587,cg14587401,1
379576,cg21251452,1
184336,cg09629631,1
172309,cg08933160,1
27485,cg01314555,1
196612,cg10331884,1
395562,cg22355889,1
477257,cg27360593,1
123758,cg06322619,1
347762,cg19251740,1
104513,cg05254098,1
312898,cg17068236,1
481341,cg27603055,1
161940,cg08349335,1
415017,cg23571474,1
242813,cg13158641,1
326748,cg17937591,1
345917,cg19119382,1
99528,cg04989706,1
170248,cg08825084,1
446253,cg25503999,1
465951,cg26702039,1
416439,cg23658329,1
236983,cg12769994,1
478290,cg27422638,1
204846,cg10815657,1
134092,cg06867910,1
328644,cg18052823,1
414971,cg23567800,1
372025,cg20776240,1
127532,cg06536159,1
442039,cg25234324,1
154174,cg07928695,1
386088,cg21703056,1
362757,cg20165884,1
256603,cg13868639,1
162274,cg08368788,1
111791,cg05649077,1
349696,cg19378640,1
73537,cg03636880,1
460790,cg26404511,1
350564,cg19432688,1
230401,cg12362980,1
160646,cg08277196,1
266809,cg14354631,1
325782,cg17874485,1
40514,cg01973587,1
114455,cg05799088,1
3696,cg00164335,1
87896,cg04379348,1
178059,cg09270003,1
477624,cg27382389,1
117113,cg05941108,1
136456,cg06984883,1
144877,cg07425625,1
184220,cg09621938,1
3197,cg00142642,1
296410,cg16102102,1
281733,cg15182326,1
119952,cg06094523,1
355939,cg19752018,1
385748,cg21676617,1
441383,cg25195158,1
451421,cg25840179,1
149978,cg07699608,1
250210,cg13555884,1
174765,cg09081913,1
209961,cg11128983,1
451462,cg25841888,1
213190,cg11318906,1
360000,cg19987665,1
16129,cg00763315,1
97405,cg04881348,1
436968,cg24912473,1
142370,cg07283738,1
116108,cg05891136,1
156571,cg08067352,1
184750,cg09654329,1
228491,cg12227626,1
262780,cg14164252,1
257893,cg13929480,1
69317,cg03428581,1
62859,cg03088219,1
100703,cg05049822,1
391474,cg22069745,1
440917,cg25158772,1
235053,cg12642297,1
351693,cg19503977,1
41440,cg02020319,1
140079,cg07162665,1
170973,cg08861369,1
5624,cg00261912,1
192979,cg10130460,1
328532,cg18046365,1
335943,cg18480974,1
253968,cg13732893,1
460083,cg26362491,1
79844,cg03970567,1
426595,cg24295324,1
335885,cg18477943,1
210952,cg11189272,1
176992,cg09215282,1
145122,cg07439474,1
475546,cg27264374,1
59815,cg02938066,1
351226,cg19475194,1
360487,cg20017769,1
430765,cg24543538,1
155457,cg08002427,1
198268,cg10434261,1
408879,cg23199143,1
42029,cg02050694,1
244350,cg13253637,1
322740,cg17681491,1
139691,cg07146321,1
205271,cg10838001,1
394311,cg22262889,1
36328,cg01775468,1
258840,cg13976876,1
211823,cg11235152,1
144538,cg07403865,1
436882,cg24906015,1
72155,cg03566853,1
314006,cg17135680,1
100802,cg05055230,1
87709,cg04368789,1
94029,cg04707255,1
427107,cg24326830,1
329063,cg18078408,1
82376,cg04101960,1
201091,cg10589281,1
408613,cg23181950,1
168292,cg08709827,1
38482,cg01877961,1
170104,cg08818009,1
463488,cg26559707,1
388784,cg21885112,1
117388,cg05954273,1
270508,cg14537194,1
477222,cg27358469,1
156122,cg08041019,1
75177,cg03721140,1
88516,cg04410558,1
227411,cg12162337,1
429860,cg24493925,1
384636,cg21605061,1
430593,cg24533989,1
98741,cg04947385,1
353048,cg19586116,1
140032,cg07160748,1
41824,cg02040836,1
460127,cg26365090,1
261963,cg14122723,1
165191,cg08534327,1
256665,cg13872627,1
397519,cg22496339,1
375178,cg20992319,1
201871,cg10632894,1
28858,cg01388796,1
413855,cg23497436,1
369888,cg20649689,1
203833,cg10760240,1
176985,cg09214892,1
108614,cg05473677,1
302522,cg16452565,1
189455,cg09927287,1
69419,cg03433712,1
107974,cg05431670,1
84732,cg04218022,1
239849,cg12959558,1
248549,cg13475915,1
354554,cg19677008,1
349648,cg19375751,1
306536,cg16670809,1
225944,cg12077294,1
311671,cg16991637,1
195102,cg10242775,1
381274,cg21388877,1
306189,cg16652920,1
360288,cg20004659,1
56858,cg02792582,1
7653,cg00361380,1
48047,cg02351745,1
405493,cg22993154,1
67603,cg03338691,1
330397,cg18148498,1
246869,cg13398947,1
107808,cg05419812,1
341792,cg18845950,1
133066,cg06819687,1
241978,cg13099644,1
154728,cg07961027,1
44682,cg02182656,1
426343,cg24275100,1
45903,cg02249911,1
479890,cg27519424,1
276429,cg14862445,1
202772,cg10690152,1
306626,cg16675581,1
452366,cg25917621,1
413680,cg23486773,1
57869,cg02848456,1
168884,cg08742780,1
371960,cg20771808,1
175240,cg09112760,1
472201,cg27060340,1
198031,cg10420223,1
11782,cg00554640,1
287232,cg15552626,1
246457,cg13378486,1
61958,cg03043160,1
23532,cg01114486,1
55360,cg02717503,1
448343,cg25634175,1
450164,cg25754956,1
83553,cg04157138,1
184888,cg09662325,1
440489,cg25134647,1
349776,cg19384241,1
21374,cg01015507,1
430,cg00017639,1
368309,cg20544552,1
81855,cg04075973,1
383176,cg21518709,1
221241,cg11808639,1
356380,cg19774478,1
14906,cg00704652,1
247361,cg13424330,1
22005,cg01044608,1
131770,cg06758191,1
50785,cg02491947,1
85301,cg04245693,1
26807,cg01283685,1
87428,cg04352587,1
213329,cg11326919,1
442603,cg25277174,1
147748,cg07576219,1
58651,cg02886132,1
121930,cg06210054,1
38488,cg01878321,1
101338,cg05084668,1
204872,cg10816943,1
438683,cg25019961,1
320490,cg17519545,1
54926,cg02698338,1
429906,cg24496088,1
244080,cg13235976,1
415626,cg23614816,1
186629,cg09768411,1
181840,cg09483891,1
222538,cg11873147,1
348526,cg19301366,1
59559,cg02926488,1
308866,cg16798348,1
11209,cg00526843,1
476326,cg27307523,1
439223,cg25051134,1
428212,cg24393009,1
135873,cg06954638,1
131579,cg06749524,1
209039,cg11071273,1
171879,cg08905519,1
301069,cg16373817,1
305179,cg16595760,1
417946,cg23743606,1
282738,cg15249211,1
42374,cg02065151,1
413003,cg23442326,1
233952,cg12582138,1
329064,cg18078491,1
370444,cg20681704,1
453078,cg25956966,1
476357,cg27308738,1
263867,cg14212190,1
223963,cg11960711,1
211070,cg11196437,1
177834,cg09258240,1
181368,cg09456782,1
472266,cg27064063,1
387985,cg21836699,1
317538,cg17343385,1
476971,cg27341708,1
16832,cg00796231,1
221519,cg11823079,1
426420,cg24281117,1
320417,cg17516160,1
440786,cg25150519,1
89356,cg04456492,1
174368,cg09058471,1
16623,cg00786952,1
242596,cg13145591,1
169081,cg08755490,1
200844,cg10577630,1
240895,cg13030586,1
172965,cg08971063,1
359843,cg19977566,1
385635,cg21665557,1
314273,cg17151058,1
387873,cg21830313,1
252432,cg13661397,1
317075,cg17319787,1
121027,cg06158184,1
451797,cg25871427,1
63917,cg03146154,1
112519,cg05689110,1
359731,cg19969606,1
382846,cg21498547,1
219022,cg11684183,1
140223,cg07169764,1
279497,cg15048948,1
371814,cg20759356,1
35951,cg01757116,1
45751,cg02242372,1
403833,cg22890737,1
70434,cg03482946,1
283673,cg15320980,1
34567,cg01681863,1
399741,cg22645161,1
2534,cg00109069,1
337092,cg18553677,1
312843,cg17063962,1
382767,cg21494445,1
338940,cg18673341,1
168442,cg08718098,1
36181,cg01768395,1
195099,cg10242703,1
93992,cg04705318,1
17196,cg00814218,1
238068,cg12841692,1
414025,cg23507211,1
147487,cg07564088,1
274397,cg14744919,1
98948,cg04959480,1
64931,cg03199564,1
292086,cg15837838,1
408974,cg23203918,1
69078,cg03414932,1
73571,cg03638687,1
78166,cg03881924,1
101284,cg05081395,1
137227,cg07023494,1
153065,cg07870920,1
175478,cg09126024,1
186740,cg09776041,1
266449,cg14335434,1
306857,cg16688533,1
318769,cg17420885,1
355342,cg19721055,1
357379,cg19831575,1
383699,cg21548038,1
412440,cg23405575,1
417139,cg23693797,1
461669,cg26459339,1
7159,cg00339012,1
76892,cg03809898,1
369280,cg20608966,1
87980,cg04383715,1
132199,cg06778639,1
38010,cg01854389,1
307631,cg16725607,1
119181,cg06051312,1
179569,cg09356193,1
161911,cg08347626,1
25754,cg01226963,1
389024,cg21902187,1
180267,cg09396850,1
99254,cg04976759,1
396226,cg22397713,1
373224,cg20860472,1
42825,cg02085097,1
296166,cg16087430,1
231739,cg12445586,1
204709,cg10807309,1
323841,cg17757980,1
469313,cg26894807,1
311893,cg17004906,1
212318,cg11264878,1
475382,cg27254046,1
27664,cg01326018,1
117736,cg05971440,1
65114,cg03209459,1
21387,cg01016122,1
316639,cg17294865,1
244288,cg13249850,1
290731,cg15752756,1
266205,cg14323910,1
92153,cg04601775,1
319781,cg17480035,1
9112,cg00429767,1
17967,cg00853042,1
62381,cg03062648,1
181614,cg09470907,1
15127,cg00714810,1
69446,cg03435229,1
193522,cg10158182,1
9560,cg00453864,1
295223,cg16026362,1
439122,cg25043633,1
321978,cg17625618,1
395950,cg22378564,1
35299,cg01719898,1
347603,cg19243721,1
159211,cg08203253,1
419570,cg23864543,1
317360,cg17334389,1
280379,cg15100491,1
202190,cg10651657,1
468460,cg26848478,1
30083,cg01445325,1
94697,cg04742614,1
114170,cg05785424,1
137252,cg07025003,1
399369,cg22620689,1
216753,cg11547544,1
216115,cg11505661,1
25657,cg01221582,1
399027,cg22598241,1
369045,cg20593436,1
283514,cg15309910,1
258039,cg13935694,1
66376,cg03276489,1
173420,cg08999764,1
266980,cg14364815,1
328170,cg18024859,1
228099,cg12204173,1
83729,cg04166520,1
318313,cg17392018,1
10394,cg00491210,1
309908,cg16873130,1
403151,cg22853947,1
474312,cg27183036,1
277285,cg14916924,1
452011,cg25886683,1
247387,cg13425650,1
435158,cg24806371,1
108037,cg05435882,1
154425,cg07944051,1
199658,cg10510604,1
130234,cg06679003,1
166133,cg08587864,1
139195,cg07124492,1
475474,cg27260418,1
